client_id,car_type,model_year,model_month
V000CD0064,EV6_LONGRANGE,2022,05
V000CE0010,IONIQ5_LONGRANGE,2021,12
V000CE0018,EV3_LONGRANGE,2024,07
V000CE0007,IONIQ5_LONGRANGE,2022,03
V000CE0014,EV3_LONGRANGE,2025,04
V000CE0019,PORTER2,2023,07
V000CB0006,EV6_LONGRANGE,2023,11
V004CA0002,EV6_LONGRANGE,2022,05
V009BL0001,KONA_LONGRANGE,2018,09
V000CD0078,IONIQ6_LONGRANGE,2023,12
V000CB0039,EV9,2024,01
V000CA0020,KONA_LONGRANGE,2023,02
V000CD0077,EV3,2025,02
V000CD0079,THE_NEW_IONIQ5_LONGRANGE,2025,04
V020BH0001,IONIQ5,2018,07
V000CC0077,EV6_LONGRANGE,2021,09
V000CE0001,EV3_LONGRANGE,2025,04
V000CC0069,BONGO3,2024,12
V000CC0079,EV6_LONGRANGE,2021,09
V000CC0074,IONIQ5_LONGRANGE,2022,06
V000CC0068,EV3,2024,08
V000CC0008,EV6_LONGRANGE,2022,10
V000CC0058,PORTER2,2024,12
V000CC0044,EV3_LONGRANGE,2024,12
V000CB0100,PORTER2,2022,10
V000CC0062,NIRO_LONGRANGE,2019,02
V000CC0066,BONGO3,2024,12
V000CC0063,CASPER_LONGRANGE,2024,10
V000CC0081,EV3_LONGRANGE,2024,08
V000CC0070,EV6_LONGRANGE,2024,08
V003CE0000,SOUL_LONGRANGE,,
V000CB0008,EV6_LONGRANGE,2021,10
V000CE0017,EV3_LONGRANGE,2025,03
V000CC0051,CASPER_LONGRANGE,2025,03
V004CG0022,EV9,2025,05
V03CF0020,NIRO_PLUS,,
V03CD0060,NIRO_PLUS,,
V03CD0061,NIRO_PLUS,,
V03CD0078,NIRO_PLUS,,
V03CD0085,NIRO_PLUS,,
V03CD0086,NIRO_PLUS,,
V03CD0093,NIRO_PLUS,,
V03CD0094,NIRO_PLUS,,
V03CD0097,NIRO_PLUS,,
V03CD0079,NIRO_LONGRANGE,,
V03CD0082,NIRO_LONGRANGE
V03CD0062,EV6_LONGRANGE,,
V03CD0063,EV6_LONGRANGE,,
V03CD0064,EV6_LONGRANGE,,
V03CD0067,EV6_LONGRANGE,,
V03CD0072,EV3_LONGRANGE,,
V03CD0059,IONIQ5_LONGRANGE,,
V03CD0080,IONIQ5_LONGRANGE,,
V03CD0081,IONIQ5_LONGRANGE,,
V03CD0083,IONIQ5_LONGRANGE,,
V013CG0047,EV3_LONGRANGE,2024,11
V025CG0062,EV3_LONGRANGE,2025,07
V010CG0041,EV6_LONGRANGE,2021,11
V011CG0043,EV6_LONGRANGE,2022,09
V03CD0121,KONA_LONGRANGE,,
V022CG0059,KONA_LONGRANGE,2018,11
V029CG0068,GV60,2022,05
V015CG0054,G80,2022,04
V03CD0109,NIRO_LONGRANGE,,
V03CD0129,NIRO_PLUS,,
V03CD0106,IONIQ,2019,
V03CD0108,IONIQ,2019,
V03CD0117,IONIQ,2019,
V012CG0046,IONIQ9,2025,05
V03CD0113,IONIQ5_LONGRANGE,2022,
V03CD0123,IONIQ5_LONGRANGE,,
V03CD0124,IONIQ5_LONGRANGE,,
V03CD0127,IONIQ5_LONGRANGE,2022,
V026CG0063,IONIQ5_LONGRANGE,2022,
V027CG0066,IONIQ5_LONGRANGE,2023,04
V015CG0053,THE_NEW_IONIQ5_LONGRANGE,2025,03
V001CG0006,THE_NEW_IONIQ5_LONGRANGE,2025,05
V005CG0023,IONIQ5_LONGRANGE,2022,04
V021CF0098,IONIQ5_LONGRANGE,2021,11
V007CG0005,IONIQ9,2025,04
V003CG0016,CASPER_LONGRANGE,2024,10
V025CF0138,CASPER_LONGRANGE,2025,01
V026CF0147,CASPER_LONGRANGE,2024,08
V026CF0145,EV3_STANDARD,2025,05
V024CF0116,EV3_LONGRANGE,2025,03
V009CG0038,EV4_LONGRANGE,2025,05
V021CF0096,EV6_LONGRANGE,2022,07
V026CF0140,EV6_LONGRANGE,2023,05
V026CF0141,EV6_LONGRANGE,2022,07
V002CG0007,KONA_LONGRANGE,2018,11
V024CF0129,KONA_LONGRANGE,2021,04
V022CF0107,GV70,2025,06
V002CG0010,GV70,2022,11
V023CF0114,NIRO_PLUS,2023,01
V027CF0156,SOUL_LONGRANGE,2019,06
V028CF0166,BONGO3,2023,06
V002CG0009,EV4_LONGRANGE,2025,06
V005CG0025,EV6_LONGRANGE,2022,11
V007CG0030,EV6_LONGRANGE,2025,06
V021CF0097,EV6_LONGRANGE,2023,07
V026CF0144,EV6_LONGRANGE,2022,08
V026CF0143,EV9,2024,04
V024CF0134,IONIQ5_LONGRANGE,2021,10
V009CG0037,IONIQ5_LONGRANGE,2022,10
V010CG0040,IONIQ5_LONGRANGE,2021,05
V007CG0021,IONIQ9,2025,03
V018CF0075,IONIQ,2018,10
V020CF0090,IONIQ,2017,08
V016CF0065,KONA_LONGRANGE,2018,10
V027CF0162,KONA_LONGRANGE,2018,07
V030CF0179,KONA_LONGRANGE,2018,10
V027CF0164,BONGO3,2024,07
V008CG0033,PORTER2,2021,11
V020CF0092,PORTER2,2022,05
V018CF0080,NIRO_LONGRANGE,2021,06
V018CF0078,CASPER_LONGRANGE,2024,10
V005CH0003,IONIQ5_LONGRANGE,2021,05
V020CE0035,IONIQ5_LONGRANGE,2021,12
V000BI0009,IONIQ5_LONGRANGE,2022,09
V017CF0069,IONIQ5_N,2024,09
V021CE0043,IONIQ6_LONGRANGE,2022,10
V010CF0015,EV3_STANDARD,2025,03
V008CG0031,EV4_LONGRANGE,2025,06
V027CH0046,EV6_LONGRANGE,2021,11
V016CH0022,EV6_LONGRANGE,2021,12
V016CF0063,EV9,2023,12
V000CD0101,ST1,2024,06
V026CH0041,ST1,2025,05
V000CD0055,ST1,2025,06
V002CG0011,THE_NEW_IONIQ5_STANDARD,2025,02
V011CI0025,THE_NEW_IONIQ5_LONGRANGE,2024,07
V004CF0003,NIRO_LONGRANGE,2019,07
V027CH0043,NIRO_LONGRANGE,2020,03
V003CI0005,KONA_LONGRANGE,2019,07
V013CF0043,KONA_LONGRANGE,2020,03
V03CE0037,TESLA_MODEL3_LONGRANGE,,
V005CI0012,IONIQ5_LONGRANGE,2025,05
V005CG0026,IONIQ5_LONGRANGE,2021,06
V014CI0029,IONIQ5_LONGRANGE,2022,03
V020CE0039,IONIQ5_LONGRANGE,2022,07
V013CF0041,IONIQ5_LONGRANGE,2022,10
V014CF0047,IONIQ5_LONGRANGE,2022,02
V009CF0014,THE_NEW_IONIQ5_LONGRANGE,2025,03
V000CD0012,EV3_LONGRANGE,2024,09
V015CF0055,EV3_LONGRANGE,2024,07
V000CC0002,EV6_LONGRANGE,2023,12
V000CD0014,EV6_LONGRANGE,2022,05
V016CH0023,EV6_LONGRANGE,2022,01
V014CF0048,EV6_LONGRANGE,2021,10
V012CF0033,CASPER_LONGRANGE,2024,10
V027CH0047,CASPER_STANDARD,2024,11
V000CB0002,GV60,2023,04
V021CE0046,GV70,2022,06
V000CD0015,PORTER2,2021,03
V000CD0038,ST1,2024,11
V005CF0006,IONIQ5_LONGRANGE,2021,08
V004CJ0010,IONIQ5_LONGRANGE,2022,03
V000CE0028,IONIQ5_LONGRANGE,2022,02
V000CC0043,IONIQ5_LONGRANGE,2021,10
V000CA0046,IONIQ5_LONGRANGE,2021,10
V000CA0033,IONIQ,2020,08
V009CH0009,EV3_LONGRANGE,2025,03
V000CC0037,EV3_LONGRANGE,2025,02
V008CH0005,EV6_LONGRANGE,2022,08
V002CJ0007,EV6_LONGRANGE,2021,08
V002CJ0008,EV6_LONGRANGE,2022,05
V000CE0003,EV9,2025,04
V000CB0084,EV9,2023,12
V000CC0010,CASPER_LONGRANGE,2025,02
V003CG0019,CASPER_LONGRANGE,2024,10
V000CC0031,NIRO2,2022,09
V013CF0038,KONA_LONGRANGE,2023,08
V009CJ0013,GV60,2023,04
V001CJ0004,ST1,2025,07
V03CD0101,IONIQ,2020,
V03CD0104,IONIQ,2019,
V03CD0105,IONIQ,2019,
V03CD0107,IONIQ,2019,
V03CD0115,IONIQ,2019,
V03CD0116,IONIQ,2019,
V03CD0118,IONIQ,2019,
V03CD0119,IONIQ,2019,
V03CD0134,IONIQ,2019,
V03CD0070,IONIQ5,2019,
V027CF0158,IONIQ5_N,2025,06
V03CD0071,IONIQ5_LONGRANGE,,
V03CD0077,IONIQ5_LONGRANGE,2022,
V03CD0114,IONIQ5_LONGRANGE,2022,
V03CD0126,IONIQ5_LONGRANGE,2022,
V03CD0130,IONIQ5_LONGRANGE,2022,
V03CD0131,IONIQ5_LONGRANGE,2022,
V020CE0040,THE_NEW_IONIQ5_LONGRANGE,2025,03
V03CD0076,THE_NEW_IONIQ5_LONGRANGE,,
V015CF0054,IONIQ6_STANDARD,2024,10
V03CF0022,IONIQ9,,
V03CF0021,NIRO_PLUS,,
V03CD0074,NIRO_PLUS,,
V03CD0084,NIRO_PLUS,,
V03CD0087,NIRO_PLUS,,
V03CD0098,NIRO_PLUS,,
V03CD0099,NIRO_PLUS,,
V03CD0100,NIRO_PLUS,,
V03CD0102,NIRO_PLUS,,
V03CD0103,NIRO_PLUS,,
V03CD0128,NIRO_PLUS,,
V03CD0136,NIRO_PLUS,,
V030CH0049,NIRO_LONGRANGE,2021,04
V03CD0075,NIRO_LONGRANGE,,
V03CD0090,NIRO_LONGRANGE,,
V03CD0111,NIRO_LONGRANGE,,
V03CD0120,NIRO_LONGRANGE,,
V024CF0121,NIRO_LONGRANGE,2021,06
V03CD0133,NIRO_LONGRANGE,,
V03CD0135,NIRO_LONGRANGE,,
V023CE0048,EV3_LONGRANGE,2025,03
V030CI0054,EV4_LONGRANGE,2025,09
V03CF0019,EV6_LONGRANGE,,
V013CF0044,EV6_LONGRANGE,2022,11
V03CD0065,EV6_LONGRANGE,,
V03CD0066,EV6_LONGRANGE,,
V021BL0000,EV9,2023,09
V000CD0045,CASPER_LONGRANGE,2025,01
V027CE0054,CASPER_LONGRANGE,2024,09
V000CD0103,CASPER_LONGRANGE,2024,08
V000CC0060,KONA_LONGRANGE,2020,08
V03CD0068,KONA_LONGRANGE,,
V03CD0092,KONA_LONGRANGE,,
V03CD0112,KONA_LONGRANGE,,
V03CD0125,G80,,
V03CD0137,SOUL_EV,2019
V029CI0054,AUDI_Q4_E_TRON,2022,10
V022CJ0039,TESLA_MODEL3_LONGRANGE,2024,06
V019CJ0034,EV3_LONGRANGE,2024,09
V000CD0003,EV6_LONGRANGE,2023,12
V022CJ0044,EV6_LONGRANGE,2022,07
V011CI0024,IONIQ5_N,2024,11
V023CJ0049,IONIQ5_LONGRANGE,2021,11
V024CJ0054,IONIQ5_LONGRANGE,2022,02
V03CD0095,NIRO_PLUS,,
V03CD0096,NIRO_PLUS,,
V001CJ0002,AUDI_Q4_E_TRON,2023,08
V017CJ0030,AUDI_Q4_E_TRON,2024,09
V017CJ0031,AUDI_Q4_E_TRON,2022,05
V020CJ0036,TESLA_MODEL3_LONGRANGE,2020,07
V021CJ0038,TESLA_MODELY_LONGRANGE,2025,06
V022CJ0042,TESLA_MODEL3_LONGRANGE,2021,03
V024CJ0052,TESLA_MODELY_LONGRANGE,2023,05
V019CJ0032,VOLKSWAGEN_ID4_PRO,2023,04
V024CJ0055,VOLKSWAGEN_ID4_PRO,2023,03
V025CJ0057,VOLKSWAGEN_ID4_PRO,2023,03
V016CJ0023,VOLKSWAGEN_ID5_PRO,2025,06
V000CD0050,ST1,2025,01
V016CJ0047,AUDI_Q4_E_TRON,2025,04
