car_id,car_type,vehicle_type,age_years,model_year,model_month,age_string,first_date,last_date,collection_period,efficiency,efficiency_score,avg_temperature,temperature_score,cell_imbalance,cell_imbalance_score,driving_habit_score,charging_count,avg_charging_amount,charging_pattern_score,weighted_avg,age_penalty,final_score
M2210703707,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T23:59:18+00:00,2021-12-08T17:29:22+00:00,2021.11.17 ~ 2021.12.08,3.81,55.14,10.22,100.0,0.0107,91.04,90.0,425.0,1.5,95.41,81.12,5.4,75.72
M2210703708,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T21:41:29+00:00,2021-12-08T23:51:03+00:00,2021.11.17 ~ 2021.12.08,3.72,53.77,14.5,100.0,0.0096,93.13,90.0,262.0,1.4,89.31,80.0,5.4,74.6
M2210703709,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T06:10:16+00:00,2021-12-08T11:25:36+00:00,2021.11.17 ~ 2021.12.08,4.22,61.38,11.16,100.0,0.0113,89.69,90.0,481.0,1.0,82.64,80.85,5.4,75.45
M2210703710,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T12:49:57+00:00,2021-12-08T18:03:31+00:00,2021.11.17 ~ 2021.12.08,4.19,60.87,15.87,100.0,0.0108,90.84,90.0,598.0,1.0,87.54,81.69,5.4,76.29
M2210703711,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-07T19:28:10+00:00,2021-12-08T17:08:31+00:00,2021.11.07 ~ 2021.12.08,2.97,42.57,11.91,100.0,0.0095,93.19,90.0,350.0,1.0,90.86,76.53,5.4,71.13
M2210703712,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T20:14:39+00:00,2021-12-08T23:48:38+00:00,2021.11.17 ~ 2021.12.08,3.94,57.14,18.11,100.0,0.0166,70.0,90.0,451.0,2.0,97.23,78.58,5.4,73.18
M2210703713,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T18:58:37+00:00,2021-12-08T16:00:22+00:00,2021.11.17 ~ 2021.12.08,4.17,60.6,13.94,100.0,0.0087,94.34,90.0,165.0,1.8,80.61,81.03,5.4,75.63
M2210703714,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T19:03:18+00:00,2021-12-08T12:32:25+00:00,2021.11.17 ~ 2021.12.08,4.18,60.69,10.86,100.0,0.0142,81.1,90.0,235.0,1.6,90.21,80.45,5.4,75.05
M2210703715,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-23T09:23:07+00:00,2021-12-08T23:48:36+00:00,2021.11.23 ~ 2021.12.08,4.52,65.88,13.82,100.0,0.0099,92.64,90.0,506.0,1.0,83.79,83.03,5.4,77.63
M2210703716,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T09:48:02+00:00,2021-12-08T18:37:41+00:00,2021.11.17 ~ 2021.12.08,1.0,40.0,9.82,100.0,0.0142,81.03,77.54,183.0,1.0,78.14,69.45,5.4,64.05
M2210703717,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-18T10:55:57+00:00,2021-11-21T19:13:46+00:00,2021.11.18 ~ 2021.11.21,3.94,57.14,17.6,100.0,0.0093,93.6,90.0,70.0,1.1,95.0,82.15,5.4,76.75
M2210703718,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-26T10:19:23+00:00,2021-12-08T21:07:17+00:00,2021.11.26 ~ 2021.12.08,3.18,45.74,12.08,100.0,0.0136,83.07,90.0,161.0,1.4,95.96,76.75,5.4,71.35
M2210703719,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T10:09:42+00:00,2021-12-08T21:38:32+00:00,2021.11.17 ~ 2021.12.08,3.15,45.34,9.67,100.0,0.0117,88.93,90.0,196.0,1.1,93.62,77.2,5.4,71.8
M2210703720,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T15:25:24+00:00,2021-11-21T17:55:24+00:00,2021.11.17 ~ 2021.11.21,4.31,62.76,18.49,100.0,0.0143,80.73,90.0,58.0,1.2,76.72,78.83,5.4,73.43
M2210703721,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-18T15:51:45+00:00,2021-12-08T17:14:28+00:00,2021.11.18 ~ 2021.12.08,3.85,55.78,13.84,100.0,0.0107,91.06,90.0,168.0,1.4,88.69,80.22,5.4,74.82
M2210703722,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T19:58:48+00:00,2021-12-08T15:40:05+00:00,2021.11.17 ~ 2021.12.08,3.01,43.2,13.25,100.0,0.0096,93.11,90.0,362.0,1.3,85.36,75.81,5.4,70.41
M2210703723,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-18T08:29:34+00:00,2021-12-08T13:08:15+00:00,2021.11.18 ~ 2021.12.08,3.0,43.04,9.6,100.0,0.0166,70.04,90.0,124.0,1.5,89.11,72.54,5.4,67.14
M2210703724,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T18:41:17+00:00,2021-12-08T18:13:33+00:00,2021.11.17 ~ 2021.12.08,3.85,55.73,12.96,100.0,0.022,40.0,90.0,418.0,1.7,88.88,71.72,5.4,66.32
M2210703725,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-23T16:35:41+00:00,2021-12-08T18:05:20+00:00,2021.11.23 ~ 2021.12.08,2.37,40.0,13.14,100.0,0.0074,95.93,90.0,49.0,1.2,73.47,73.23,5.4,67.83
M2210703726,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T20:09:29+00:00,2021-12-08T20:23:55+00:00,2021.11.17 ~ 2021.12.08,2.97,42.66,11.62,100.0,0.0106,91.3,90.0,367.0,0.9,80.11,74.45,5.4,69.05
M2210703727,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T10:30:23+00:00,2021-12-08T23:55:09+00:00,2021.11.17 ~ 2021.12.08,3.27,47.1,17.0,100.0,0.0107,91.11,90.0,455.0,1.4,85.27,76.76,5.4,71.36
M2210703728,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T16:17:32+00:00,2021-12-08T16:04:01+00:00,2021.11.17 ~ 2021.12.08,3.35,48.34,15.31,100.0,0.0101,92.32,90.0,336.0,1.1,86.9,77.65,5.4,72.25
M2210703729,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T13:14:42+00:00,2021-12-06T21:32:13+00:00,2021.11.17 ~ 2021.12.06,2.54,40.0,12.1,100.0,0.0102,92.05,90.0,60.0,1.3,78.33,73.4,5.4,68.0
M2210703730,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T18:30:45+00:00,2021-12-08T18:46:52+00:00,2021.11.17 ~ 2021.12.08,3.79,54.95,15.55,100.0,0.0097,92.93,90.0,514.0,1.6,88.42,80.21,5.4,74.81
M2210703731,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T22:03:37+00:00,2021-12-08T22:39:32+00:00,2021.11.17 ~ 2021.12.08,2.84,40.59,14.49,100.0,0.0105,91.45,90.0,248.0,1.4,87.5,75.02,5.4,69.62
M2210703746,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-18T00:53:35+00:00,2021-12-06T14:13:36+00:00,2021.11.18 ~ 2021.12.06,4.36,63.42,15.34,100.0,0.011,90.51,90.0,732.0,1.3,90.37,82.95,5.4,77.55
M2210703747,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-18T10:55:49+00:00,2021-12-08T19:44:54+00:00,2021.11.18 ~ 2021.12.08,4.29,62.38,15.23,100.0,0.012,88.14,90.0,302.0,1.0,83.61,81.09,5.4,75.69
M2210703748,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T08:55:51+00:00,2021-12-08T17:21:27+00:00,2021.11.17 ~ 2021.12.08,4.1,59.61,17.14,100.0,0.0136,83.28,90.0,509.0,1.0,84.38,79.48,5.4,74.08
M2210703749,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T10:23:25+00:00,2021-12-08T18:36:00+00:00,2021.11.17 ~ 2021.12.08,4.19,60.91,10.41,100.0,0.0153,76.4,90.0,694.0,1.2,92.0,80.04,5.4,74.64
M2210703750,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T20:42:53+00:00,2021-12-08T21:00:29+00:00,2021.11.17 ~ 2021.12.08,3.56,51.44,15.08,100.0,0.0095,93.18,90.0,613.0,0.9,90.78,79.47,5.4,74.07
M2210703751,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T17:22:22+00:00,2021-11-17T17:22:22+00:00,2021.11.17 ~ 2021.11.17,,0.0,10.19,100.0,,99.33,80.0,,,80.0,59.89,5.4,54.49
M2210703752,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-19T16:28:34+00:00,2021-12-08T17:02:48+00:00,2021.11.19 ~ 2021.12.08,3.03,43.44,12.81,100.0,0.0105,91.51,90.0,168.0,1.2,78.57,74.49,5.4,69.09
M2210703753,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T16:54:16+00:00,2021-12-08T18:03:44+00:00,2021.11.17 ~ 2021.12.08,2.87,41.14,15.29,100.0,0.0097,92.89,90.0,78.0,1.2,73.72,73.15,5.4,67.75
M2210703754,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T22:10:20+00:00,2021-12-08T23:46:18+00:00,2021.11.17 ~ 2021.12.08,3.88,56.25,11.46,100.0,0.0098,92.69,90.0,189.0,0.8,85.45,80.11,5.4,74.71
M2210703755,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-18T12:05:18+00:00,2021-12-05T08:20:55+00:00,2021.11.18 ~ 2021.12.05,2.73,40.0,9.44,100.0,0.0088,94.33,90.0,47.0,1.5,92.55,76.15,5.4,70.75
M2210703791,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-18T08:50:49+00:00,2021-12-08T19:04:47+00:00,2021.11.18 ~ 2021.12.08,1.26,40.0,16.58,100.0,0.0123,87.41,90.0,445.0,0.9,83.6,73.5,5.4,68.1
M2210703792,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T22:32:53+00:00,2021-12-08T20:10:03+00:00,2021.11.17 ~ 2021.12.08,3.69,53.35,12.96,100.0,0.0144,80.35,90.0,358.0,1.4,83.66,76.79,5.4,71.39
M2210703842,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T19:06:45+00:00,2021-12-08T18:18:09+00:00,2021.11.17 ~ 2021.12.08,4.14,60.11,17.22,100.0,0.0082,95.05,90.0,294.0,0.9,89.12,82.4,5.4,77.0
M2210703844,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-23T13:13:49+00:00,2021-12-01T11:50:12+00:00,2021.11.23 ~ 2021.12.01,,0.0,23.16,100.0,,99.33,90.0,,,80.0,61.56,5.4,56.16
M2210703845,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T15:58:22+00:00,2021-12-08T23:55:49+00:00,2021.11.17 ~ 2021.12.08,3.62,52.27,13.11,100.0,0.0083,94.85,90.0,218.0,1.3,88.07,79.58,5.4,74.18
M2210703846,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T19:36:03+00:00,2021-12-01T16:28:28+00:00,2021.11.17 ~ 2021.12.01,3.4,49.1,13.05,100.0,0.0138,82.32,90.0,91.0,1.8,88.46,76.5,5.4,71.1
M2210703847,EV6,중형,4.92,2021.0,1.0,2021.01,2021-12-01T13:07:33+00:00,2021-12-01T13:07:33+00:00,2021.12.01 ~ 2021.12.01,,0.0,8.38,100.0,0.02,50.0,80.0,,,80.0,51.67,5.4,46.27
M2210703848,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-22T13:13:38+00:00,2021-12-01T16:21:17+00:00,2021.11.22 ~ 2021.12.01,3.6,52.01,11.12,100.0,0.0158,73.88,80.96,59.0,1.8,100.0,76.47,5.4,71.07
M2210703849,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-18T00:40:39+00:00,2021-12-08T22:07:59+00:00,2021.11.18 ~ 2021.12.08,3.36,48.49,13.02,100.0,0.0098,92.68,90.0,487.0,0.9,86.96,77.77,5.4,72.37
M2210703971,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-29T10:36:08+00:00,2021-12-08T15:34:34+00:00,2021.11.29 ~ 2021.12.08,1.17,40.0,9.16,100.0,0.0112,90.12,90.0,121.0,1.5,96.28,76.07,5.4,70.67
M2210703972,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-29T12:42:22+00:00,2021-12-08T23:12:11+00:00,2021.11.29 ~ 2021.12.08,3.65,52.74,14.68,100.0,0.0128,85.91,90.0,71.0,2.6,100.0,80.23,5.4,74.83
M2210703974,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T19:42:11+00:00,2021-12-08T20:24:24+00:00,2021.11.17 ~ 2021.12.08,2.71,40.0,9.59,100.0,0.011,90.44,90.0,298.0,1.1,88.76,74.87,5.4,69.47
M2210703975,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-19T20:32:55+00:00,2021-12-08T23:52:58+00:00,2021.11.19 ~ 2021.12.08,4.32,62.85,13.27,100.0,0.0087,94.35,79.44,256.0,1.4,95.12,82.44,5.4,77.04
M2210703977,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-18T16:01:41+00:00,2021-12-08T17:29:56+00:00,2021.11.18 ~ 2021.12.08,3.37,48.52,16.96,100.0,0.0118,88.69,90.0,63.0,1.1,95.24,78.49,5.4,73.09
M2210703978,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T13:23:25+00:00,2021-12-08T23:53:39+00:00,2021.11.17 ~ 2021.12.08,3.4,49.09,12.73,100.0,0.0139,82.15,90.0,442.0,0.7,89.03,76.56,5.4,71.16
M2210703979,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-18T15:40:24+00:00,2021-12-08T23:55:30+00:00,2021.11.18 ~ 2021.12.08,2.85,40.84,15.78,100.0,0.0097,92.89,90.0,140.0,1.3,78.93,73.92,5.4,68.52
M2210703980,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T21:53:04+00:00,2021-12-07T17:57:07+00:00,2021.11.17 ~ 2021.12.07,3.63,52.44,15.61,100.0,0.039,40.0,90.0,59.0,0.5,83.05,69.66,5.4,64.26
M2210703981,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T23:03:10+00:00,2021-12-08T09:57:56+00:00,2021.11.17 ~ 2021.12.08,3.17,45.52,7.74,100.0,0.0095,93.19,90.0,51.0,0.8,85.29,76.59,5.4,71.19
M2210703982,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T15:12:31+00:00,2021-12-08T21:18:28+00:00,2021.11.17 ~ 2021.12.08,4.01,58.12,12.15,100.0,0.0156,75.16,90.0,515.0,0.7,99.13,80.09,5.4,74.69
M2210703983,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T15:01:09+00:00,2021-12-08T18:08:25+00:00,2021.11.17 ~ 2021.12.08,4.55,66.25,19.37,100.0,0.0118,88.56,90.0,685.0,0.9,92.48,83.92,5.4,78.52
M2210703984,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-18T13:23:27+00:00,2021-12-08T21:33:29+00:00,2021.11.18 ~ 2021.12.08,2.05,40.0,8.39,100.0,0.0089,94.18,90.0,225.0,1.0,99.78,77.33,5.4,71.93
M2210703985,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-11T02:02:30+00:00,2021-12-08T17:50:51+00:00,2021.11.11 ~ 2021.12.08,4.45,64.79,11.62,100.0,0.0222,40.0,90.0,426.0,1.8,94.95,75.75,5.4,70.35
M2210703986,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T23:13:56+00:00,2021-12-08T22:59:16+00:00,2021.11.17 ~ 2021.12.08,4.2,61.01,16.24,100.0,0.0089,94.17,90.0,634.0,1.2,80.13,81.05,5.4,75.65
M2210703987,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T11:46:12+00:00,2021-12-08T20:25:19+00:00,2021.11.17 ~ 2021.12.08,3.47,50.11,13.48,100.0,0.0093,93.62,90.0,280.0,1.1,93.21,79.51,5.4,74.11
M2210703988,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T10:41:41+00:00,2021-12-08T20:18:58+00:00,2021.11.17 ~ 2021.12.08,2.61,40.0,9.06,100.0,0.0103,91.79,90.0,119.0,0.6,100.0,76.97,5.4,71.57
M2210703989,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T11:04:08+00:00,2021-12-08T20:35:21+00:00,2021.11.17 ~ 2021.12.08,3.75,54.27,15.19,100.0,0.0151,77.21,90.0,503.0,1.0,88.67,77.4,5.4,72.0
M2210703990,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T11:43:01+00:00,2021-11-22T11:12:07+00:00,2021.11.17 ~ 2021.11.22,4.25,61.84,15.85,100.0,0.0117,88.79,90.0,73.0,1.1,94.52,82.83,5.4,77.43
M2210703991,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T15:47:42+00:00,2021-12-08T23:52:28+00:00,2021.11.17 ~ 2021.12.08,2.88,41.29,12.02,100.0,0.0134,83.83,78.14,477.0,0.9,90.67,72.54,5.4,67.14
M2210703992,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T18:29:05+00:00,2021-12-07T18:13:51+00:00,2021.11.17 ~ 2021.12.07,3.41,49.17,9.58,100.0,0.0123,87.23,90.0,304.0,1.1,91.28,77.81,5.4,72.41
M2210703993,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-20T10:19:09+00:00,2021-12-08T22:09:25+00:00,2021.11.20 ~ 2021.12.08,3.09,44.42,13.26,100.0,0.0119,88.29,90.0,161.0,0.6,86.34,75.58,5.4,70.18
M2210703994,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-18T23:57:05+00:00,2021-12-08T22:23:38+00:00,2021.11.18 ~ 2021.12.08,4.65,67.81,14.14,100.0,0.0125,86.62,90.0,510.0,0.9,88.24,83.41,5.4,78.01
M2210703995,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T18:50:10+00:00,2021-12-08T20:08:49+00:00,2021.11.17 ~ 2021.12.08,4.08,59.19,7.29,100.0,0.0162,72.21,90.0,456.0,1.1,92.0,78.76,5.4,73.36
M2210703997,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T22:02:12+00:00,2021-12-08T23:52:25+00:00,2021.11.17 ~ 2021.12.08,3.52,50.91,15.53,100.0,0.0095,93.19,90.0,325.0,1.3,80.77,77.63,5.4,72.23
M2210703998,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T03:52:38+00:00,2021-12-08T18:21:29+00:00,2021.11.17 ~ 2021.12.08,2.61,40.0,10.2,100.0,0.0091,93.78,90.0,254.0,1.5,91.93,75.95,5.4,70.55
M2210703999,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T21:08:56+00:00,2021-12-08T20:25:06+00:00,2021.11.17 ~ 2021.12.08,4.05,58.75,13.07,100.0,0.0115,89.29,90.0,440.0,1.3,94.2,81.83,5.4,76.43
M2210704008,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T19:28:24+00:00,2021-12-08T18:14:06+00:00,2021.11.17 ~ 2021.12.08,4.05,58.79,15.35,100.0,0.0095,93.3,90.0,517.0,1.1,87.72,81.43,5.4,76.03
M2210704012,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T21:33:35+00:00,2021-12-08T07:15:51+00:00,2021.11.17 ~ 2021.12.08,4.34,63.21,15.07,100.0,0.01,92.49,90.0,326.0,1.0,82.67,81.93,5.4,76.53
M2210704014,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T18:45:04+00:00,2021-12-08T18:25:41+00:00,2021.11.17 ~ 2021.12.08,3.6,52.01,13.35,100.0,0.01,92.4,90.0,365.0,1.0,94.25,80.11,5.4,74.71
M2210704016,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-19T19:19:54+00:00,2021-12-08T21:05:16+00:00,2021.11.19 ~ 2021.12.08,3.7,53.61,10.59,100.0,0.0122,87.42,90.0,584.0,1.5,90.41,79.18,5.4,73.78
M2210704017,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T21:44:08+00:00,2021-12-08T20:31:59+00:00,2021.11.17 ~ 2021.12.08,3.81,55.19,11.13,100.0,0.0153,76.47,90.0,441.0,1.1,86.17,77.17,5.4,71.77
M2210704019,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-26T12:33:07+00:00,2021-12-07T07:00:30+00:00,2021.11.26 ~ 2021.12.07,2.98,42.66,13.6,100.0,0.0126,86.28,90.0,51.0,2.1,100.0,76.93,5.4,71.53
M2210704023,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T10:39:55+00:00,2021-12-08T21:48:48+00:00,2021.11.17 ~ 2021.12.08,3.78,54.76,16.55,100.0,0.0106,91.27,90.0,405.0,1.1,82.84,78.94,5.4,73.54
M2210704024,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T22:10:24+00:00,2021-12-08T23:53:56+00:00,2021.11.17 ~ 2021.12.08,4.4,64.0,15.07,100.0,0.0112,90.02,90.0,488.0,1.1,90.78,83.13,5.4,77.73
M2210704025,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T20:05:58+00:00,2021-12-08T18:13:14+00:00,2021.11.17 ~ 2021.12.08,4.0,58.04,17.48,100.0,0.0087,94.41,90.0,732.0,0.8,83.47,80.66,5.4,75.26
M2210704026,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-18T18:02:06+00:00,2021-11-18T18:02:06+00:00,2021.11.18 ~ 2021.11.18,,0.0,13.0,100.0,,99.33,80.0,,,80.0,59.89,5.4,54.49
M2210704028,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T19:54:35+00:00,2021-12-08T20:11:18+00:00,2021.11.17 ~ 2021.12.08,3.62,52.38,11.97,100.0,0.0108,90.83,90.0,337.0,1.3,82.49,78.01,5.4,72.61
M2210704029,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T14:09:30+00:00,2021-12-08T18:11:44+00:00,2021.11.17 ~ 2021.12.08,1.25,40.0,14.78,100.0,0.0103,91.96,90.0,183.0,0.9,97.81,76.63,5.4,71.23
